Ticker,Year,Revenue,Gross Profit,Selling/General/Administrative Expense,Research And Development,Operating Income,EBITDA,EBIT,Interest Expense,Net Income,Cash and Short Term Investments,"Receivables, Total Net",Prepaid Expenses,"Total Assets, Reported",Accounts Payable,Accrued Expenses,Total Debt,Total Liabilities,Retained Earnings (Accumulated Deficit),Total Equity,Cash from Operating Activities,"Depreciation / Depletion, Cumulative",Cash from Investing Activities,Cash from Financing Activities,"Net Change in Cash, Cumulative",Company Market Cap,Price Close,Outstanding Shares
A.N,1994,5546000000,2686000000,1473000000,692000000,521000000,521000000,521000000,,282000000,,,,,,,,,,,,,,,,,,
A.N,1995,6595000000,3260000000,1654000000,765000000,841000000,841000000,841000000,,499000000,,,,,,,,,,,,,,,,,,
A.N,1996,7379000000,3478000000,1798000000,805000000,875000000,1276000000,875000000,,542000000,,,,,,,,,,,881000000,401000000,-508000000,-373000000,0,,,
A.N,1997,7785000000,3659000000,1909000000,880000000,870000000,1279000000,870000000,,543000000,,1234000000,,5006000000,495000000,871000000,0,1896000000,,3110000000,965000000,409000000,-515000000,-450000000,0,,,
A.N,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.N,2000,6830000000,3203000000,1902000000,879000000,422000000,862000000,422000000,,512000000,,1635000000,,5444000000,510000000,930000000,0,2062000000,0,3382000000,488000000,440000000,-336000000,-152000000,0,,,
A.N,2001,9361000000,4775000000,2786000000,1065000000,924000000,1384000000,924000000,,757000000,996000000,1938000000,,8330000000,857000000,1374000000,110000000,3065000000,757000000,5265000000,783000000,460000000,-1062000000,1275000000,996000000,33785562500,52.0908975,437000000
A.N,2002,8396000000,3308000000,2670000000,1341000000,-778000000,31000000,-703000000,,174000000,1170000000,1214000000,,7986000000,386000000,1158000000,6000000,2327000000,931000000,5659000000,1502000000,734000000,-1365000000,37000000,174000000,24986059360,36.88894601,456366381
A.N,2003,6010000000,2144000000,2293000000,1194000000,-1607000000,-608000000,-1343000000,36000000,-1032000000,1844000000,1118000000,,8203000000,451000000,961000000,1150000000,3576000000,-101000000,4627000000,-504000000,735000000,-71000000,1243000000,674000000,13219949012,19.20920275,463695160
A.N,2004,4468000000,1835000000,1784000000,771000000,-720000000,-441000000,-720000000,36000000,-2058000000,1607000000,1086000000,,6297000000,441000000,877000000,1150000000,3473000000,-2159000000,2824000000,-158000000,279000000,-203000000,104000000,-237000000,8387758601,12.10092183,467024421
A.N,2005,4556000000,2164000000,1502000000,599000000,63000000,275000000,63000000,36000000,369000000,2315000000,788000000,,7144000000,306000000,730000000,1150000000,3575000000,-1790000000,3569000000,670000000,212000000,-114000000,138000000,708000000,13922599187,19.70105537,476149083
A.N,2006,4685000000,2364000000,1444000000,631000000,216000000,469000000,289000000,27000000,327000000,2251000000,678000000,,6751000000,323000000,680000000,0,2670000000,-1463000000,4081000000,899000000,180000000,-200000000,-780000000,-89000000,11732870197,16.23787395,486841087
A.N,2007,4973000000,2658000000,1537000000,634000000,464000000,652000000,487000000,69000000,3307000000,2262000000,692000000,,7369000000,378000000,545000000,1500000000,3721000000,1534000000,3648000000,634000000,170000000,1796000000,-2408000000,36000000,16357267439,22.42982671,491356787
A.N,2008,5420000000,2969000000,1695000000,684000000,584000000,772000000,590000000,91000000,638000000,1826000000,735000000,,7554000000,323000000,569000000,2087000000,4320000000,2172000000,3234000000,969000000,191000000,-456000000,-980000000,-436000000,14187816921,24.92078195,407110959
A.N,2009,5774000000,3196000000,1701000000,704000000,795000000,970000000,791000000,123000000,693000000,1429000000,770000000,,7007000000,308000000,614000000,2125000000,4448000000,2791000000,2559000000,756000000,201000000,-399000000,-774000000,-421000000,13647756217,26.27229638,371468596
A.N,2010,4481000000,2292000000,1448000000,607000000,47000000,805000000,648000000,88000000,-31000000,2493000000,595000000,,7612000000,307000000,505000000,2904000000,5106000000,2760000000,2506000000,408000000,162000000,-14000000,657000000,1074000000,5501626192,11.17680981,351991439
A.N,2011,5444000000,2930000000,1699000000,609000000,566000000,917000000,717000000,96000000,684000000,2649000000,869000000,,9696000000,499000000,725000000,3691000000,6468000000,3444000000,3228000000,718000000,202000000,-1174000000,601000000,170000000,10838187807,22.21775309,348831278
A.N,2012,6615000000,3529000000,1807000000,649000000,1071000000,1450000000,1197000000,86000000,1012000000,3527000000,860000000,,9057000000,472000000,723000000,2185000000,4749000000,4456000000,4308000000,1260000000,253000000,1294000000,-1693000000,878000000,14432069282,29.62605441,348348281
A.N,2013,6858000000,3604000000,1817000000,668000000,1119000000,1555000000,1248000000,101000000,1153000000,2351000000,923000000,,10536000000,461000000,756000000,2362000000,5354000000,5505000000,5182000000,1228000000,301000000,-2366000000,-37000000,-1176000000,12160012293,24.97798891,348125173
